authorId,firstName,lastName
2262053254,Alan,Gravett
145645312,S.,Sterner
2245985521,Joseph,E Clinton
2245990072,Ernest,Ruiz
97570127,Susan,Oman
2184990728,Nonye,Chukwuma
100606833,R.,Zondo
1413882049,Francisco,Femenia-Serra
1404970083,J.,Ivars-Baidal
1380420887,Jayamini,Ranaweera
100600220,M.,Zanin
12664174,D.,Weaving
46480199,C.,Withanage
2305668878,Gregory,Roe
5166291,M.,Bağcıoğlu
4966048,C.,Surcel
40239657,S.,Ozcan
4480504,C.,Mirvald
6261940,M.,A. Karagoz
37122668,M.,Karadağ
5097536,E.,Huri
4748110,K.,Sarıca
5250076,C.,Mclennan
13283361,K.,Akilov
2092561457,D.,R. Asadullaev
33056405,Rustam,Yuldashev
1587084540,Sh.,I. Shokhaydarov
1742337823,Huwei,Zhang
40166747,M.,Perry
50464322,I.,Draskovic
6120173,T.,Achterberg
2240067568,George,F. Borm
2272653776,Mij,van Eijken
2239122179,Peter,Lucassen
1399672394,M.,Vernooij-Dassen
153753191,Mgm,Olde Rikkert
113265042,Samar,Rahi
2297578772,Mahmoud,Alghizzawi
48456824,Sajjad,Ahmad
2142184072,Mubbsher,Munawar Khan
102088817,A.,Ngah
1742490241,Mair,
2252864559,J.,Hammerer-Lercher
2416577342,Puschendorf,B
2252851680,Shimamoto,
2283910528,K.,Kusumoto
2107367441,S.,Watanabe
2088472053,I.,S
2416456157,K.,N
3002697,P.,Stone
35210775,P.,Jagannath
40664071,Stephanie,N Thompson
33630732,J.,Campbell
39586646,Albeir,Y. Mousa
15715712,Kimball,Knackstedt
13733292,Stephen,M. Hass
9916037,A.,AbuRahma
14632720,Inés,Losada López
101274125,J.,González-Moreno
2320027015,Juan,Buades Reinés
2294291157,T.,Sevilla
1398871379,F.,Martínez Valle
1491284975,L.,Galán Dávila
2175940254,Francisco,Muñoz Beamud
4698289,J.,E. Bárcena Llona
2320027023,Manuel,Romero Acebal
