from,to,type
000141aeb58a8cfb10474f3438599d668196a69e,5f365e630572186afad9fe924b6e40058987acdf,CITES
000141aeb58a8cfb10474f3438599d668196a69e,c6753d3e85153cd7de37ee531fb4ccc7a302b438,CITES
000141aeb58a8cfb10474f3438599d668196a69e,3c466051cc557b6b2b85ffe239d0506a4b51240a,CITES
000141aeb58a8cfb10474f3438599d668196a69e,753846faa2776f3322b71e714c4547a5405a90eb,CITES
000141aeb58a8cfb10474f3438599d668196a69e,19a2cb2eb4011d425d5c2a780d7913b550b9010c,CITES
000141aeb58a8cfb10474f3438599d668196a69e,eac1587792ec7da0f7f17e217507b3ef026564eb,CITES
000141aeb58a8cfb10474f3438599d668196a69e,917d14d600dc5931d706937beb5eda1bbed9176b,CITES
000141aeb58a8cfb10474f3438599d668196a69e,38df5079c04871a07b88fba8494a4d5355c31bd3,CITES
000141aeb58a8cfb10474f3438599d668196a69e,f0642df6b571e77008f7f1d208801035594feb1c,CITES
000141aeb58a8cfb10474f3438599d668196a69e,019171d5bb0654f20dd24378a41fbf84220b81ba,CITES
000141aeb58a8cfb10474f3438599d668196a69e,e96e55eaa6cff37d961dc47c61f5e154fc12225b,CITES
000141aeb58a8cfb10474f3438599d668196a69e,8f42b5e65541a911df8905f87846307aa24a05c0,CITES
000141aeb58a8cfb10474f3438599d668196a69e,73c70d47058e8ecb68ab2cd652c378d90850e543,CITES
000141aeb58a8cfb10474f3438599d668196a69e,bdf4830b550a477f7078a99bfeb5a62fd7b546ab,CITES
000141aeb58a8cfb10474f3438599d668196a69e,c50aed3b3f6e908670a03f3f8890ffff7aab88bb,CITES
000141aeb58a8cfb10474f3438599d668196a69e,6f8cc0183bb6e7dd4ba6b4a5d93cf84cfe1275fe,CITES
000141aeb58a8cfb10474f3438599d668196a69e,10ab68f6e6abef4ddd9a81d98a46ab4c929f4273,CITES
000141aeb58a8cfb10474f3438599d668196a69e,566ea5d4127b2e07146ad180e2cad27c82aaadf6,CITES
000141aeb58a8cfb10474f3438599d668196a69e,95705be2caa2ddc13ff5abcf3e50bdab9eab240a,CITES
